name,target_rva,reason
??1ExperienceTracker@@MAE@XZ,0x003067D2,"Caught by the DIR32 consistency check: this body and ??1Overridable@@MAE@XZ at 0x000A9EE9 both reset the vptr to ??_7MemoryPoolObject@@6B@ and retail stores two different addresses for it (0x00BBB554 here, 0x00BC93C8 there). The linker emits one vtable per class, so one placement is wrong, and it is this one. 0x00BC93C8 has the shape MemoryPoolObject's vtable must have -- a deleting destructor at slot 0 and __purecall at slot 1 for the pure getObjectMemoryPool -- with slot 0 pointing into the game's own code. 0x00BBB554 sits in a run of GDI+/ATL vtables (the two preceding slots are Gdiplus::Image::Clone and ATL::CImage's vector deleting destructor) and its slot 0 points into that same vendor region, so it belongs to an ATL class that also has a pure virtual. Single-hit masked placement at an unaligned address with nothing claimed within 0x100; retired rather than repointed."
??0SupplyCenterDockUpdateModuleData@@QAE@XZ,0x00355DAF,"Retired alongside the former ??0SupplyWarehouseDockUpdateModuleData@@QAE@XZ tombstone at 0x004A7FF0 (since byte-proven and restored): the shared base-constructor call cannot be resolved without asserting that two bodies with different vtable pointers are one function."
?_bfme_updateClientFramePeriod@GameEngine@@AAEXXZ,0x00225D68,Stale name after 306ede1 renamed the source method to _bfme_updateClientFrameCounter; the Counter row retains the same 16-byte body in GameEngineFrameTiming.cpp. The object no longer defines the Period symbol.
?d_0000a300@@YAXXZ,0x0000A300,"gen-dump placeholder superseded by the real identity of these bytes: ?sbumpc@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@QAEGXZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_filebuf.cpp over the same 23-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_00013930@@YAXXZ,0x00013930,"gen-dump placeholder superseded by the real identity of these bytes: ?uflow@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@MAEGXZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_filebuf.cpp over the same 35-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013970@@YAXXZ,0x00013970,"gen-dump placeholder superseded by the real identity of these bytes: ?xsputn@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@MAEHPBGH@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_filebuf.cpp over the same 180-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013a30@@YAXXZ,0x00013A30,"gen-dump placeholder superseded by the real identity of these bytes: ?_M_xsputnc@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@MAEHGH@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_filebuf.cpp over the same 154-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_000098a0@@YAXXZ,0x000098A0,"gen-dump placeholder superseded by the real identity of these bytes: ??$__copy@PBDV?$ostreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@H@_STL@@YA?AV?$ostreambuf_iterator@DV?$char_traits@D@_STL@@@0@PBD0V10@ABUrandom_access_iterator_tag@0@PAH@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_num_put.cpp over the same 114-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_0000e9c0@@YAXXZ,0x0000E9C0,"gen-dump placeholder superseded by the real identity of these bytes: ??$__copy@PBGV?$ostreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@H@_STL@@YA?AV?$ostreambuf_iterator@GV?$char_traits@G@_STL@@@0@PBG0V10@ABUrandom_access_iterator_tag@0@PAH@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_num_put.cpp over the same 106-byte range. The Code/gen_asm/d_0000b550.asm dump reproduces those bytes but carries no identity."
?d_00007c70@@YAXXZ,0x00007C70,"gen-dump placeholder superseded by the real identity of these bytes: ?sgetc@?$basic_streambuf@DV?$char_traits@D@_STL@@@_STL@@QAEHXZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_istream.cpp over the same 21-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_00007e90@@YAXXZ,0x00007E90,"gen-dump placeholder superseded by the real identity of these bytes: ?sbumpc@?$basic_streambuf@DV?$char_traits@D@_STL@@@_STL@@QAEHXZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_istream.cpp over the same 32-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_00009860@@YAXXZ,0x00009860,"gen-dump placeholder superseded by the real identity of these bytes: ?sputc@?$basic_streambuf@DV?$char_traits@D@_STL@@@_STL@@QAEHD@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_istream.cpp over the same 49-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_0000a0a0@@YAXXZ,0x0000A0A0,"gen-dump placeholder superseded by the real identity of these bytes: ?_M_getc@?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@ABEXXZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_num_get.cpp over the same 68-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_00013260@@YAXXZ,0x00013260,"gen-dump placeholder superseded by the real identity of these bytes: ?_M_initialize@_STLP_mutex_base@_STL@@QAEXXZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_filebuf.cpp over the same 7-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_000143a0@@YAXXZ,0x000143A0,"gen-dump placeholder superseded by the real identity of these bytes: ??$count@PADD@_STL@@YAHPAD0ABD@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_filebuf.cpp over the same 35-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
